Time,Demand_Percentage(%),Prediction_Horizon(min),CAV_Penetration(%),Eco_Routing_with_Travel_Time(0/1),Overall_Travel_Time_Avg(s),Overall_Fuel_Used_Avg(gallon),Overall_Electricity_Used_Avg(kWh),Overall_Fuel_Cost_Avg($),Overall_Electricity_Cost_Avg($),Total_Number_of_Vehicles,Travel_Time_ICE_Avg(s),Travel_Time_ICE_NONCAV_Avg(s),Travel_Time_BEV_Avg(s),Travel_Time_BEV_NONCAV_Avg(s),Travel_Time_PHEV_Avg(s),Travel_Time_PHEV_NONCAV_Avg(s),Travel_Time_HFCV_Avg(s),Travel_Time_HFCV_NONCAV_Avg(s),Fuel_Used_ICE_Avg(gallon),Fuel_Used_ICE_NONCAV_Avg(gallon),Fuel_Used_BEV_Avg(gallon),Fuel_Used_BEV_NONCAV_Avg(gallon),Fuel_Used_PHEV_Avg(gallon),Fuel_Used_PHEV_NONCAV_Avg(gallon),Fuel_Used_HFCV_Avg(gallon),Fuel_Used_HFCV_NONCAV_Avg(gallon),Electricity_Used_ICE_Avg(kWh),Electricity_Used_ICE_NONCAV_Avg(kWh),Electricity_Used_BEV_Avg(kWh),Electricity_Used_BEV_NONCAV_Avg(kWh),Electricity_Used_PHEV_Avg(kWh),Electricity_Used_PHEV_NONCAV_Avg(kWh),Electricity_Used_HFCV_Avg(kWh),Electricity_Used_HFCV_NONCAV_Avg(kWh),Vehicle_Count_ICE,Vehicle_Count_ICE_NONCAV,Vehicle_Count_BEV,Vehicle_Count_BEV_NONCAV,Vehicle_Count_PHEV,Vehicle_Count_PHEV_NONCAV,Vehicle_Count_HFCV,Vehicle_Count_HFCV_NONCAV
2.02E+13,100,5,20,0,1187.78,0.255524,0.0757749,0.894335,647.761,34194,1271.71,1162.11,1456.77,1224.3,1371.6,1145.7,1109.12,1215.33,0.28498,0.268871,0,0,0,2.08E-06,0,0,0,0,1.0711,1.17868,1.24212,1.38312,1.29716,1.24101,6620,25480,236,806,142,554,68,288
2.02E+13,100,5,30,0,1233.63,0.26061,0.0728303,0.912136,610.318,33520,1269.84,1209.36,1589.15,1293.5,1507.88,1199.39,1235.48,1193.74,0.282092,0.275324,0,0,3.62E-06,1.63E-06,0,0,0,0,1.10287,1.15936,1.33776,1.28149,1.22434,1.21428,9545,21949,301,759,212,434,101,219
2.02E+13,100,5,40,0,1316.2,0.268708,0.0729104,0.940478,603.388,33103,1382.83,1262.18,1691.53,1341.73,1466.73,1245.63,1163.07,1223.54,0.294941,0.28074,0,0,1.57E-06,4.53E-06,0,0,0,0,1.01109,1.13883,1.12613,1.36779,1.2276,1.2081,12737,18303,390,626,307,399,148,193
2.02E+13,100,5,50,0,1218.31,0.256988,0.0743246,0.899456,619.384,33334,1252.3,1181.53,1330.77,1131.84,1362.75,1090.75,1148.27,1305.43,0.278777,0.269309,0,0,2.60E-06,1.13E-06,0,0,0,0,1.07721,1.18507,1.14554,1.32339,1.27351,1.29529,15840,15412,522,493,378,341,186,162
2.02E+13,100,5,60,0,1645.3,0.309553,0.0614803,1.08343,498.036,32403,1722.16,1493.74,2043.96,1606.97,2079.85,1712.08,1795.67,1425.51,0.340663,0.312944,0,0,1.87E-06,2.86E-06,0,0,0,0,0.856021,0.974675,0.974522,1.23382,1.05449,1.34634,18356,12070,592,369,408,267,207,134
2.02E+13,100,5,70,0,1290.57,0.265756,0.0711107,0.930148,586.681,33001,1305.14,1233.76,1414.53,1376.75,1473.75,1247.69,1260.46,1441.68,0.285712,0.275848,0,0,1.74E-06,5.82E-06,0,0,0,0,1.02507,1.12705,1.29471,1.38027,1.29019,1.19726,21888,9123,707,270,485,198,230,100
2.02E+13,100,5,80,0,1571.98,0.299902,0.0659179,1.04966,531.183,32233,1598.96,1417.22,1745.04,1446.61,1769.55,1361.73,1695.82,1859.94,0.324625,0.301467,0,0,2.02E-06,1.93E-06,0,0,0,0,0.91116,1.09723,1.1272,1.16782,1.14537,1.22647,24313,5885,833,195,543,122,274,68
2.02E+13,100,5,90,0,1524.93,0.298822,0.0667401,1.04588,545.85,32715,1530.78,1379.86,1746.59,1400.06,1681.81,1545.45,1485.75,1428.72,0.319719,0.299407,0,0,1.63E-06,6.12E-06,0,0,0,0,1.03428,1.0431,1.20599,1.34997,1.16833,1.07978,27831,2932,882,98,584,78,278,32
2.02E+13,100,5,100,0,1772.19,0.326796,0.0574088,1.14379,452.668,31540,1760.41,0,2141.02,0,1866.53,0,1600.91,0,0.347627,0,0,0,3.21E-06,0,0,0,0,0,0.871972,0,1.0638,0,1.00542,0,29650,0,942,0,619,0,329,0
2.02E+13,100,10,0,0,1152.71,0.25396,0.0790218,0.888859,661.077,33463,0,1153.15,0,1129.5,0,1165.51,0,1155.25,0,0.270688,0,0,0,3.22E-06,0,0,0,0,0,1.20251,0,1.40655,0,1.24593,0,31395,0,1015,0,696,0,357
2.02E+13,100,10,10,0,1188.37,0.257068,0.0784222,0.899737,661.746,33753,1235.43,1180.56,1361.88,1228.38,1285.65,1184.96,832.629,1257.02,0.280963,0.273413,0,0,2.67E-06,2.16E-06,0,0,0,0,1.1387,1.16267,1.11254,1.41773,1.46159,1.27453,3194,28453,116,946,71,624,35,314
