Time,Demand_Percentage(%),Prediction_Horizon(min),CAV_Penetration(%),Eco_Routing_with_Travel_Time(0/1),Overall_Travel_Time_Avg(s),Overall_Fuel_Used(gallon),Overall_Electricity_Used(kWh),Overall_Fuel_Cost($),Overall_Electricity_Cost($),Total_Number_of_Vehicles,Travel_Time_ICE_Avg(s),Travel_Time_ICE_NONCAV_Avg(s),Travel_Time_BEV_Avg(s),Travel_Time_BEV_NONCAV_Avg(s),Travel_Time_PHEV_Avg(s),Travel_Time_PHEV_NONCAV_Avg(s),Travel_Time_HFCV_Avg(s),Travel_Time_HFCV_NONCAV_Avg(s),Fuel_Used_ICE_Avg(gallon),Fuel_Used_ICE_NONCAV_Avg(gallon),Fuel_Used_BEV_Avg(gallon),Fuel_Used_BEV_NONCAV_Avg(gallon),Fuel_Used_PHEV_Avg(gallon),Fuel_Used_PHEV_NONCAV_Avg(gallon),Fuel_Used_HFCV_Avg(gallon),Fuel_Used_HFCV_NONCAV_Avg(gallon),Electricity_Used_ICE_Avg(kWh),Electricity_Used_ICE_NONCAV_Avg(kWh),Electricity_Used_BEV_Avg(kWh),Electricity_Used_BEV_NONCAV_Avg(kWh),Electricity_Used_PHEV_Avg(kWh),Electricity_Used_PHEV_NONCAV_Avg(kWh),Electricity_Used_HFCV_Avg(kWh),Electricity_Used_HFCV_NONCAV_Avg(kWh),Vehicle_Count_ICE,Vehicle_Count_ICE_NONCAV,Vehicle_Count_BEV,Vehicle_Count_BEV_NONCAV,Vehicle_Count_PHEV,Vehicle_Count_PHEV_NONCAV,Vehicle_Count_HFCV,Vehicle_Count_HFCV_NONCAV,Overall_Fuel_Used(gallon)_After1hour,Overall_Electricity_Used(kWh)_After1hour,Overall_Fuel_Cost($)_After1hour,Overall_Electricity_Cost($)_After1hour,Total_Number_of_Vehicles_After1hour,Travel_Time_ICE_Avg(s)_After1hour,Travel_Time_ICE_NONCAV_Avg(s)_After1hour,Travel_Time_BEV_Avg(s)_After1hour,Travel_Time_BEV_NONCAV_Avg(s)_After1hour,Travel_Time_PHEV_Avg(s)_After1hour,Travel_Time_PHEV_NONCAV_Avg(s)_After1hour,Travel_Time_HFCV_Avg(s)_After1hour,Travel_Time_HFCV_NONCAV_Avg(s)_After1hour,Fuel_Used_ICE_Avg(gallon)_After1hour,Fuel_Used_ICE_NONCAV_Avg(gallon)_After1hour,Fuel_Used_BEV_Avg(gallon)_After1hour,Fuel_Used_BEV_NONCAV_Avg(gallon)_After1hour,Fuel_Used_PHEV_Avg(gallon)_After1hour,Fuel_Used_PHEV_NONCAV_Avg(gallon)_After1hour,Fuel_Used_HFCV_Avg(gallon)_After1hour,Fuel_Used_HFCV_NONCAV_Avg(gallon)_After1hour,Electricity_Used_ICE_Avg(kWh)_After1hour,Electricity_Used_ICE_NONCAV_Avg(kWh)_After1hour,Electricity_Used_BEV_Avg(kWh)_After1hour,Electricity_Used_BEV_NONCAV_Avg(kWh)_After1hour,Electricity_Used_PHEV_Avg(kWh)_After1hour,Electricity_Used_PHEV_NONCAV_Avg(kWh)_After1hour,Electricity_Used_HFCV_Avg(kWh)_After1hour,Electricity_Used_HFCV_NONCAV_Avg(kWh)_After1hour,Vehicle_Count_ICE_After1hour,Vehicle_Count_ICE_NONCAV_After1hour,Vehicle_Count_BEV_After1hour,Vehicle_Count_BEV_NONCAV_After1hour,Vehicle_Count_PHEV_After1hour,Vehicle_Count_PHEV_NONCAV_After1hour,Vehicle_Count_HFCV_After1hour,Vehicle_Count_HFCV_NONCAV_After1hour,number_of_vehicles_left_in_the_network
market fleet & binomial route choice&left turn yields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02E+13,100,0,20,0,764.406,7421.08,2995.94,25973.8,748.986,34699,712.94,776.438,775.284,794.227,655.902,805.512,740.294,742.759,0.223706,0.228902,0,0,3.91E-06,8.39E-06,0,0,0,0,1.15309,1.3718,1.29335,1.60193,1.27827,1.41832,6591,25979,232,823,143,564,68,299,1410.32,490.81,4936.11,122.703,7816,584.684,821.488,886.49,763.823,634.069,815.968,970.938,713.258,0.167843,0.198248,0,0,0,7.17E-06,0,0,0,0,0.912119,0.987817,0.961297,1.05823,0.926135,1.04228,1383,5943,51,203,29,125,16,66,
2.02E+13,100,0,25,0,759.793,7399.03,2951.51,25896.6,737.877,34443,724.979,772.16,741.154,762.651,702.552,748.314,860,721.37,0.227257,0.229406,0,0,5.90E-06,9.59E-06,0,0,0,0,1.23691,1.34885,1.38283,1.57951,1.29306,1.37491,8013,24315,273,769,192,522,86,273,1373.91,334.723,4808.7,83.6807,7692,619.624,746.726,615.186,702.659,723.057,809.039,777,709.625,0.175577,0.189928,0,0,1.10E-05,6.76E-06,0,0,0,0,0.803563,0.918101,1.10008,1.18901,0.761719,0.968499,1802,5435,59,170,35,102,25,64,
2.02E+13,100,0,30,0,779.961,7575.3,3025.34,26513.5,756.335,34677,785.657,774.924,796.565,821.817,818.695,777.512,807.592,830.122,0.237979,0.230259,0,0,4.61E-06,4.38E-06,0,0,0,0,1.29064,1.40032,1.47584,1.57879,1.25927,1.52017,9753,22819,313,782,213,465,103,229,1306.78,536.624,4573.74,134.156,7844,639.118,678.908,681.163,648.277,804.058,745.485,804.769,668.053,0.176507,0.178597,0,0,3.77E-06,2.76E-06,0,0,0,0,1.02659,0.967928,1.19088,1.24719,1.00268,1.05161,2141,5201,80,184,52,103,26,57,
2.02E+13,100,0,35,0,801.78,7765.25,3052.03,27178.4,763.006,34740,811.118,797.037,808.47,821.149,836.321,766.22,814.188,728.229,0.244624,0.235177,0,0,6.44E-06,4.87E-06,0,0,0,0,1.27205,1.38819,1.41027,1.54427,1.26724,1.43036,11396,21165,381,698,277,459,133,231,1473.63,393.066,5157.69,98.2665,8097,694.307,737.414,797.184,741.895,795.383,713.198,655.533,553.841,0.189176,0.192082,0,0,3.67E-06,2.60E-06,0,0,0,0,0.800937,1.03182,1.03317,1.10719,0.75007,0.853068,2635,4946,98,152,81,111,30,44,
2.02E+13,100,0,40,0,808.891,7824.36,2998.1,27385.3,749.526,34735,825.345,796.812,834.266,799.417,792.959,840.812,764.268,868.01,0.248513,0.234758,0,0,5.43E-06,8.98E-06,0,0,0,0,1.23798,1.33272,1.39339,1.6154,1.21843,1.39297,13166,19392,406,665,317,431,157,201,1515.42,360.78,5303.96,90.195,8398,687.68,721.023,726.511,725.503,781.681,743.732,686.667,779.68,0.188096,0.188542,0,0,4.66E-06,5.15E-06,0,0,0,0,0.853465,0.933921,1.09221,1.07969,0.988675,0.856704,3259,4652,88,153,69,97,30,50,
2.02E+13,100,0,45,0,855.007,8135.23,3007.84,28473.3,751.959,34789,872.044,841.77,849.408,844.598,884.511,805.984,865.306,851.545,0.256255,0.244034,0,0,7.11E-06,9.96E-06,0,0,0,0,1.24666,1.33321,1.41915,1.53582,1.27539,1.51912,14785,17811,534,585,333,366,173,202,309569,4.31E+06,1.08E+06,1.08E+06,8584,745.897,791.283,722.014,792.181,856.774,842.805,974.412,853.389,0.206131,0.204459,0,0,3.68E-06,5.31E-06,0,0,0,0,0.914209,0.973943,1.19328,1.08645,0.9659,1.0624,3746,4320,142,127,84,77,34,54,
2.02E+13,100,0,50,0,836.474,8025.68,2912.19,28089.9,728.047,34865,847.951,829.449,804.545,791.815,783.971,765.747,881.953,853.218,0.25064,0.240143,0,0,3.11E-06,5.59E-06,0,0,0,0,1.23759,1.33314,1.33452,1.49486,1.28849,1.5144,16435,16267,547,514,382,359,191,170,309454,4.31E+06,1.08E+06,1.08E+06,8608,676.853,768.048,814.513,752.864,620.361,699.605,844.647,745.929,0.186034,0.195422,0,0,2.03E-06,3.46E-06,0,0,0,0,0.913425,1.01383,0.83709,1.17444,0.932183,0.942618,4136,3961,117,118,97,86,51,42,
2.02E+13,100,2,0,0,808.041,7549.63,3002.04,26423.7,750.509,34484,0,808.469,0,813.684,0,785.627,0,797.882,0,0.233344,0,0,0,8.13E-06,0,0,0,0,0,1.32206,0,1.55301,0,1.37777,0,32354,0,1049,0,718,0,363,1592.91,392.327,5575.17,98.0818,8171,0,832.413,0,959.439,0,783.11,0,777.477,0,0.2043,0,0,0,9.02E-06,0,0,0,0,0,0.957926,0,1.09284,0,0.977728,0,7673,0,237,0,173,0,88,
2.02E+13,100,2,5,0,882.74,7966.73,2948.28,27883.6,737.069,34474,825.106,888.933,832.469,838.364,829.6,831.112,624.909,858.462,0.241822,0.246165,0,0,0,6.90E-06,0,0,0,0,1.31285,1.34803,1.4733,1.55707,0.948914,1.37551,1681,30712,49,1008,30,652,11,331,309795,4.31E+06,1.08E+06,1.08E+06,8343,846.328,1050.71,722.727,1055.2,668.286,878.11,835,1116.8,0.212531,0.240106,0,0,0,4.72E-06,0,0,0,0,1.04,1.10992,1.10142,1.16509,0.124325,1.1682,396,7485,11,224,7,145,1,74,
2.02E+13,100,2,10,0,817.001,7633.29,3117.17,26716.5,779.293,34406,786.679,819.259,845.325,842.175,748.676,849.319,868.278,774.698,0.236315,0.236798,0,0,4.06E-06,8.20E-06,0,0,0,0,1.27991,1.37251,1.19466,1.60963,1.27377,1.43672,3226,29016,117,974,71,648,36,318,309525,4.31E+06,1.08E+06,1.08E+06,8027,767.468,854.605,797.788,814.522,725.059,965.428,921.75,709.944,0.211032,0.215977,0,0,0,1.00E-05,0,0,0,0,0.800169,1.00708,0.71571,1.29215,1.17032,1.04888,693,6823,33,226,17,152,12,71,
