Time,Demand_Percentage(%),Prediction_Horizon(min),CAV_Penetration(%),Eco_Routing_with_Travel_Time(0/1),Vehicle_Fleet,Overall_Travel_Time_Avg(s),Overall_Fuel_Used(gallon),Overall_Electricity_Used(kWh),Overall_Fuel_Cost($),Overall_Electricity_Cost($),Total_Number_of_Vehicles,Travel_Time_ICE_Avg(s),Travel_Time_ICE_NONCAV_Avg(s),Travel_Time_BEV_Avg(s),Travel_Time_BEV_NONCAV_Avg(s),Travel_Time_PHEV_Avg(s),Travel_Time_PHEV_NONCAV_Avg(s),Travel_Time_HFCV_Avg(s),Travel_Time_HFCV_NONCAV_Avg(s),Fuel_Used_ICE_Avg(gallon),Fuel_Used_ICE_NONCAV_Avg(gallon),Fuel_Used_BEV_Avg(gallon),Fuel_Used_BEV_NONCAV_Avg(gallon),Fuel_Used_PHEV_Avg(gallon),Fuel_Used_PHEV_NONCAV_Avg(gallon),Fuel_Used_HFCV_Avg(gallon),Fuel_Used_HFCV_NONCAV_Avg(gallon),Electricity_Used_ICE_Avg(kWh),Electricity_Used_ICE_NONCAV_Avg(kWh),Electricity_Used_BEV_Avg(kWh),Electricity_Used_BEV_NONCAV_Avg(kWh),Electricity_Used_PHEV_Avg(kWh),Electricity_Used_PHEV_NONCAV_Avg(kWh),Electricity_Used_HFCV_Avg(kWh),Electricity_Used_HFCV_NONCAV_Avg(kWh),Vehicle_Count_ICE,Vehicle_Count_ICE_NONCAV,Vehicle_Count_BEV,Vehicle_Count_BEV_NONCAV,Vehicle_Count_PHEV,Vehicle_Count_PHEV_NONCAV,Vehicle_Count_HFCV,Vehicle_Count_HFCV_NONCAV,Overall_Fuel_Used(gallon)_After1hour,Overall_Electricity_Used(kWh)_After1hour,Overall_Fuel_Cost($)_After1hour,Overall_Electricity_Cost($)_After1hour,Total_Number_of_Vehicles_After1hour,Travel_Time_ICE_Avg(s)_After1hour,Travel_Time_ICE_NONCAV_Avg(s)_After1hour,Travel_Time_BEV_Avg(s)_After1hour,Travel_Time_BEV_NONCAV_Avg(s)_After1hour,Travel_Time_PHEV_Avg(s)_After1hour,Travel_Time_PHEV_NONCAV_Avg(s)_After1hour,Travel_Time_HFCV_Avg(s)_After1hour,Travel_Time_HFCV_NONCAV_Avg(s)_After1hour,Fuel_Used_ICE_Avg(gallon)_After1hour,Fuel_Used_ICE_NONCAV_Avg(gallon)_After1hour,Fuel_Used_BEV_Avg(gallon)_After1hour,Fuel_Used_BEV_NONCAV_Avg(gallon)_After1hour,Fuel_Used_PHEV_Avg(gallon)_After1hour,Fuel_Used_PHEV_NONCAV_Avg(gallon)_After1hour,Fuel_Used_HFCV_Avg(gallon)_After1hour,Fuel_Used_HFCV_NONCAV_Avg(gallon)_After1hour,Electricity_Used_ICE_Avg(kWh)_After1hour,Electricity_Used_ICE_NONCAV_Avg(kWh)_After1hour,Electricity_Used_BEV_Avg(kWh)_After1hour,Electricity_Used_BEV_NONCAV_Avg(kWh)_After1hour,Electricity_Used_PHEV_Avg(kWh)_After1hour,Electricity_Used_PHEV_NONCAV_Avg(kWh)_After1hour,Electricity_Used_HFCV_Avg(kWh)_After1hour,Electricity_Used_HFCV_NONCAV_Avg(kWh)_After1hour,Vehicle_Count_ICE_After1hour,Vehicle_Count_ICE_NONCAV_After1hour,Vehicle_Count_BEV_After1hour,Vehicle_Count_BEV_NONCAV_After1hour,Vehicle_Count_PHEV_After1hour,Vehicle_Count_PHEV_NONCAV_After1hour,Vehicle_Count_HFCV_After1hour,Vehicle_Count_HFCV_NONCAV_After1hour,number_of_vehicles_left_in_the_network,MPG_ICE,MPG_ICE_NONCAV,MPG_BEV,MPG_BEV_NONCAV,MPG_PHEV,MPG_PHEV_NONCAV,MPG_HFCV,MPG_HFCV_NONCAV,MPGe_ICE,MPGe_ICE_NONCAV,MPGe_BEV,MPGe_BEV_NONCAV,MPGe_PHEV,MPGe_PHEV_NONCAV,MPGe_HFCV,MPGe_HFCV_NONCAV
20230812011829,150,0,0,0,2030,1631.39,14161.5,19858,49565.2,4964.5,51982,0,1633.73,0,1627.88,0,1616.62,0,1675.66,0,0.363375,0,0,0,8.80945e-06,0,0,0,0,0,1.41065,0,1.62516,0,1.71255,0,38972,0,6205,0,6282,0,523,6554.96,7717.49,22942.4,1929.37,24353,0,1753.75,0,1719.22,0,1691.89,0,1742.22,0,0.35951,0,0,0,5.46523e-06,0,0,0,0,0,1.15816,0,1.34252,0,1.49824,0,18233,0,2918,0,2950,0,252,7562,0,17.8101,0,0,0,5309.37,0,0,0,0,0,126.403,0,107.778,0,100.791
20230812012646,150,0,10,0,2030,1566.74,13658.3,19282.9,47804.2,4820.72,51654,1321.23,1597.99,1482.74,1553.75,1474.7,1570.71,1275.7,1678.63,0.320195,0.356839,0,0,7.75285e-06,7.15794e-06,0,0,0,0,1.31005,1.37293,1.51255,1.5973,1.18658,1.73471,3936,34744,613,5602,589,5662,50,458,5842.64,7380.15,20449.2,1845.04,23740,1291.18,1602.27,1526.03,1584.57,1444.35,1596.34,1198.65,1661.01,0.295747,0.331447,0,0,7.67148e-06,5.61973e-06,0,0,0,0,1.12245,1.13934,1.24629,1.33815,0.926126,1.52485,1693,16117,263,2574,234,2608,20,231,7874,19.5689,18.174,0,0,2931.49,4025.67,0,0,0,0,126.645,126.652,107.88,107.625,99.7068,101.779
20230812013506,150,0,20,0,2030,1483.17,13836.6,20995.4,48427.9,5248.86,53760,1403.97,1498.11,1507.64,1503.12,1544.52,1475.63,1448.94,1461.55,0.337011,0.346197,0,0,8.18593e-06,8.01859e-06,0,0,0,0,1.3698,1.43521,1.61727,1.66602,1.3489,1.78263,8099,32083,1209,5252,1314,5290,118,395,6264.67,8766.06,21926.4,2191.52,25066,1458.76,1550.91,1609.93,1565.52,1553.85,1531.35,1423.2,1611.86,0.331121,0.337031,0,0,6.1264e-06,6.62659e-06,0,0,0,0,1.21875,1.26149,1.41845,1.47915,1.10749,1.63119,3664,14988,557,2506,616,2505,54,176,5954,18.8454,18.2987,0,0,4063.2,4857.3,0,0,0,0,125.216,121.207,105.157,106.346,97.0627,102.162
20230812014342,150,0,30,0,2030,1522.28,13872.4,20492,48553.4,5122.99,53431,1436.19,1548.73,1567.9,1538.15,1559.96,1528.97,1641.39,1507.09,0.339399,0.351196,0,0,6.24699e-06,9.34739e-06,0,0,0,0,1.35269,1.4304,1.5398,1.64828,1.467,1.62085,11840,28058,1927,4559,1967,4556,153,371,6252.14,8425.41,21882.5,2106.35,25497,1440.26,1581.48,1530.57,1561.02,1508.3,1584.21,1652.12,1574.15,0.320212,0.334043,0,0,5.52518e-06,7.20623e-06,0,0,0,0,1.13907,1.23707,1.28726,1.39626,1.11586,1.40788,5446,13496,950,2247,970,2141,76,171,6623,18.5257,18.1063,0,0,3367.98,5568.73,0,0,0,0,127.313,124.818,108.96,105.659,99.0668,101.243
20230812015222,150,0,40,0,2030,1562.65,14133.2,20461.1,49466.3,5115.27,53074,1509.18,1588.99,1555.75,1578.76,1558.67,1593,1747.24,1664.82,0.354062,0.359399,0,0,7.88439e-06,9.92451e-06,0,0,0,0,1.34023,1.42285,1.5684,1.65101,1.51586,1.85403,15929,23632,2542,3834,2653,3924,233,327,6471.03,7761.92,22648.6,1940.48,24505,1601.32,1744.03,1586.14,1734.5,1657.55,1695.93,1780.57,1883.23,0.347581,0.359564,0,0,6.08891e-06,8.26687e-06,0,0,0,0,1.09165,1.16988,1.29604,1.32007,1.3288,1.6599,7237,11001,1186,1749,1208,1857,118,149,5304,18.1283,17.8613,0,0,4116.86,6177.29,0,0,0,0,125.078,123.248,105.819,105.326,98.4538,100.516
20230812020116,150,0,50,0,2030,1530.05,13830,20151.4,48405,5037.84,52847,1505.42,1534.19,1628,1543.14,1566.53,1491.72,1687.55,1566.41,0.35143,0.351077,0,0,7.47831e-06,9.38146e-06,0,0,0,0,1.34737,1.41402,1.54678,1.67043,1.35106,1.6634,19789,19584,3204,3217,3355,3167,248,283,6179.24,8103.5,21627.4,2025.88,24899,1470.36,1608.13,1593.22,1566.3,1580.16,1568.04,1778.76,1491.46,0.327284,0.343235,0,0,5.96971e-06,8.77117e-06,0,0,0,0,1.09817,1.18284,1.28933,1.46007,1.08741,1.37801,9255,9178,1590,1541,1632,1445,120,138,5360,17.8749,17.9989,0,0,3938.78,6086.58,0,0,0,0,124.823,125.564,105.425,107.5,96.2487,100.007
20230812020955,150,0,60,0,2030,1533.05,13848.7,19894.3,48470.5,4973.58,52702,1516.84,1521.14,1598.25,1581.52,1566.09,1546.43,1695.88,1453.01,0.351982,0.350129,0,0,7.61805e-06,8.91233e-06,0,0,0,0,1.35063,1.47889,1.53512,1.68372,1.41424,1.71793,23622,15806,3816,2581,3886,2479,315,197,6189.01,8027.66,21661.5,2006.91,24937,1498.44,1598.25,1590.94,1608.45,1619.18,1636.42,1851.76,1671.49,0.327502,0.341112,0,0,5.70037e-06,7.78851e-06,0,0,0,0,1.09927,1.24393,1.29521,1.4663,1.23633,1.6153,11039,7545,1826,1269,1837,1186,148,87,5932,17.6635,17.8884,0,0,3776.98,4997.11,0,0,0,0,123.405,123.759,104.984,106.909,98.8838,101.856
20230812021834,150,0,70,0,2030,1539.13,13967.2,20322,48885.3,5080.51,52560,1534.52,1488.79,1652.17,1493.51,1633.82,1485.14,1613.01,1437.3,0.358953,0.347951,0,0,7.36871e-06,1.01341e-05,0,0,0,0,1.39566,1.43805,1.61484,1.71616,1.46072,1.69829,27489,11783,4287,1993,4461,1981,387,179,6230.39,8402.88,21806.4,2100.72,25191,1511.26,1497.97,1612.77,1510.47,1618.39,1487.48,1614.22,1404.95,0.335344,0.328467,0,0,5.93837e-06,1.02451e-05,0,0,0,0,1.17395,1.21706,1.36801,1.48001,1.23989,1.44757,12991,5705,2184,966,2140,933,187,85,4638,17.855,18.3042,0,0,3941.39,6302.32,0,0,0,0,123.868,124.464,103.807,105.195,97.6546,101.649
20230812022741,150,0,80,0,2030,1584.91,14369,19644.8,50291.4,4911.21,53128,1598.74,1468.16,1672.57,1463.43,1653.76,1444.02,1646.57,1518.52,0.365977,0.340922,0,0,7.95112e-06,1.11808e-05,0,0,0,0,1.37139,1.40879,1.54304,1.67286,1.42501,1.70913,31911,7891,5147,1274,5063,1310,428,104,6487.96,8207.93,22707.9,2051.98,26361,1519.29,1409.27,1605.8,1450.67,1587.46,1418.77,1628.96,1464.85,0.333447,0.311633,0,0,5.46003e-06,1.07483e-05,0,0,0,0,1.13826,1.23947,1.27408,1.45118,1.19305,1.48979,15874,3834,2579,633,2566,613,207,55,6475,17.1723,17.923,0,0,3864.57,6294.04,0,0,0,0,123.403,124.061,102.64,105.418,98.6068,98.815
20230812023649,150,0,90,0,2030,1591.75,14396.6,19243.7,50388.1,4810.93,52933,1590.22,1488.06,1660.51,1417.6,1628.79,1502.65,1645.96,1571.67,0.365156,0.343765,0,0,7.27999e-06,1.15165e-05,0,0,0,0,1.34168,1.40501,1.53113,1.6831,1.42479,1.83002,35694,3964,5639,612,5873,638,461,52,6487.31,7871.44,22705.6,1967.86,26414,1493.46,1459.08,1583.85,1405.62,1618.86,1383.97,1587.5,1549.38,0.328354,0.321378,0,0,5.49289e-06,8.24469e-06,0,0,0,0,1.0822,1.179,1.27808,1.36696,1.12854,1.69045,17913,1884,2857,297,2918,295,224,26,7154,17.4057,18.0943,0,0,3472.89,6629.07,0,0,0,0,124.936,128.764,104.426,105.593,95.2442,101.006
