Time,Demand_Percentage(%),Prediction_Horizon(min),CAV_Penetration(%),Eco_Routing_with_Travel_Time(0/1),Overall_Travel_Time_Avg(s),Overall_Fuel_Used(gallon),Overall_Electricity_Used(kWh),Overall_Fuel_Cost($),Overall_Electricity_Cost($),Total_Number_of_Vehicles,Travel_Time_ICE_Avg(s),Travel_Time_ICE_NONCAV_Avg(s),Travel_Time_BEV_Avg(s),Travel_Time_BEV_NONCAV_Avg(s),Travel_Time_PHEV_Avg(s),Travel_Time_PHEV_NONCAV_Avg(s),Travel_Time_HFCV_Avg(s),Travel_Time_HFCV_NONCAV_Avg(s),Fuel_Used_ICE_Avg(gallon),Fuel_Used_ICE_NONCAV_Avg(gallon),Fuel_Used_BEV_Avg(gallon),Fuel_Used_BEV_NONCAV_Avg(gallon),Fuel_Used_PHEV_Avg(gallon),Fuel_Used_PHEV_NONCAV_Avg(gallon),Fuel_Used_HFCV_Avg(gallon),Fuel_Used_HFCV_NONCAV_Avg(gallon),Electricity_Used_ICE_Avg(kWh),Electricity_Used_ICE_NONCAV_Avg(kWh),Electricity_Used_BEV_Avg(kWh),Electricity_Used_BEV_NONCAV_Avg(kWh),Electricity_Used_PHEV_Avg(kWh),Electricity_Used_PHEV_NONCAV_Avg(kWh),Electricity_Used_HFCV_Avg(kWh),Electricity_Used_HFCV_NONCAV_Avg(kWh),Vehicle_Count_ICE,Vehicle_Count_ICE_NONCAV,Vehicle_Count_BEV,Vehicle_Count_BEV_NONCAV,Vehicle_Count_PHEV,Vehicle_Count_PHEV_NONCAV,Vehicle_Count_HFCV,Vehicle_Count_HFCV_NONCAV,Overall_Fuel_Used(gallon)_After1hour,Overall_Electricity_Used(kWh)_After1hour,Overall_Fuel_Cost($)_After1hour,Overall_Electricity_Cost($)_After1hour,Total_Number_of_Vehicles_After1hour,Travel_Time_ICE_Avg(s)_After1hour,Travel_Time_ICE_NONCAV_Avg(s)_After1hour,Travel_Time_BEV_Avg(s)_After1hour,Travel_Time_BEV_NONCAV_Avg(s)_After1hour,Travel_Time_PHEV_Avg(s)_After1hour,Travel_Time_PHEV_NONCAV_Avg(s)_After1hour,Travel_Time_HFCV_Avg(s)_After1hour,Travel_Time_HFCV_NONCAV_Avg(s)_After1hour,Fuel_Used_ICE_Avg(gallon)_After1hour,Fuel_Used_ICE_NONCAV_Avg(gallon)_After1hour,Fuel_Used_BEV_Avg(gallon)_After1hour,Fuel_Used_BEV_NONCAV_Avg(gallon)_After1hour,Fuel_Used_PHEV_Avg(gallon)_After1hour,Fuel_Used_PHEV_NONCAV_Avg(gallon)_After1hour,Fuel_Used_HFCV_Avg(gallon)_After1hour,Fuel_Used_HFCV_NONCAV_Avg(gallon)_After1hour,Electricity_Used_ICE_Avg(kWh)_After1hour,Electricity_Used_ICE_NONCAV_Avg(kWh)_After1hour,Electricity_Used_BEV_Avg(kWh)_After1hour,Electricity_Used_BEV_NONCAV_Avg(kWh)_After1hour,Electricity_Used_PHEV_Avg(kWh)_After1hour,Electricity_Used_PHEV_NONCAV_Avg(kWh)_After1hour,Electricity_Used_HFCV_Avg(kWh)_After1hour,Electricity_Used_HFCV_NONCAV_Avg(kWh)_After1hour,Vehicle_Count_ICE_After1hour,Vehicle_Count_ICE_NONCAV_After1hour,Vehicle_Count_BEV_After1hour,Vehicle_Count_BEV_NONCAV_After1hour,Vehicle_Count_PHEV_After1hour,Vehicle_Count_PHEV_NONCAV_After1hour,Vehicle_Count_HFCV_After1hour,Vehicle_Count_HFCV_NONCAV_After1hour
100%ICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02307E+13,100,0,0,0,617.851,7086.03,0,24801.1,0,34851,0,617.851,0,0,0,0,0,0,0,0.203324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34851,0,0,0,0,0,0,1300.09,0,4550.32,0,7071,0,565.592,0,0,0,0,0,0,0,0.183862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7071,0,0,0,0,0,0
2.02307E+13,100,0,5,0,885.772,8240.38,0,28841.3,0,34034,1028.16,878.239,0,0,0,0,0,0,0.25359,0.241515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1710,32324,0,0,0,0,0,0,2344.28,0,8204.96,0,8312,1615.91,1306.31,0,0,0,0,0,0,0.306745,0.280551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,7841,0,0,0,0,0,0
2.02307E+13,100,0,10,0,717.585,7426.12,0,25991.4,0,34277,711.36,718.268,0,0,0,0,0,0,0.209444,0.21744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3385,30892,0,0,0,0,0,0,1674.39,0,5860.36,0,7125,885.646,973.891,0,0,0,0,0,0,0.212052,0.237471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692,6433,0,0,0,0,0,0
2.02307E+13,100,0,15,0,665.535,7295.01,0,25532.5,0,34523,694.312,660.377,0,0,0,0,0,0,0.209034,0.211716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5247,29276,0,0,0,0,0,0,1358.41,0,4754.44,0,7416,612.211,613.345,0,0,0,0,0,0,0.170604,0.185812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1287,6129,0,0,0,0,0,0
20230727141307,100,0,20,0,818.796,7883.96,0,27593.9,0,34234,871.584,805.587,0,0,0,0,0,0,0.232731,0.229687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6852,27382,0,0,0,0,0,0,2177.9,0,7622.63,0,7984,1377.84,1209.27,0,0,0,0,0,0,0.282762,0.270191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646,6338,0,0,0,0,0,0
20230727141622,100,0,25,0,666.789,7289.61,0,25513.6,0,34621,703.005,654.512,0,0,0,0,0,0,0.210167,0.210686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8765,25856,0,0,0,0,0,0,1400.46,0,4901.61,0,7657,640.625,575.94,0,0,0,0,0,0,0.180033,0.183956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2062,5595,0,0,0,0,0,0
20230727141941,100,0,30,0,686.156,7411.81,0,25941.3,0,34697,713.417,674.646,0,0,0,0,0,0,0.212193,0.214216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10301,24396,0,0,0,0,0,0,1492.75,0,5224.63,0,7909,638.15,632.197,0,0,0,0,0,0,0.179765,0.192734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2435,5474,0,0,0,0,0,0
20230727142324,100,0,40,0,801.27,7959.63,0,27858.7,0,34753,861.175,760.945,0,0,0,0,0,0,0.23355,0.225995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13982,20771,0,0,0,0,0,0,2003.08,0,7010.77,0,8287,1094.18,976.424,0,0,0,0,0,0,0.244488,0.239672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3512,4775,0,0,0,0,0,0
20230727142717,100,0,50,0,783.083,7808.74,0,27330.6,0,34282,835.729,730.068,0,0,0,0,0,0,0.231577,0.223955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17201,17081,0,0,0,0,0,0,1797.72,0,6292.03,0,8559,854.596,718.068,0,0,0,0,0,0,0.21338,0.206361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4485,4074,0,0,0,0,0,0
