Time,Demand_Percentage(%),Prediction_Horizon(min),CAV_Penetration(%),Eco_Routing_with_Travel_Time(0/1),Overall_Travel_Time_Avg(s),Overall_Fuel_Used(gallon),Overall_Electricity_Used(kWh),Overall_Fuel_Cost($),Overall_Electricity_Cost($),Total_Number_of_Vehicles,Travel_Time_ICE_Avg(s),Travel_Time_ICE_NONCAV_Avg(s),Travel_Time_BEV_Avg(s),Travel_Time_BEV_NONCAV_Avg(s),Travel_Time_PHEV_Avg(s),Travel_Time_PHEV_NONCAV_Avg(s),Travel_Time_HFCV_Avg(s),Travel_Time_HFCV_NONCAV_Avg(s),Fuel_Used_ICE_Avg(gallon),Fuel_Used_ICE_NONCAV_Avg(gallon),Fuel_Used_BEV_Avg(gallon),Fuel_Used_BEV_NONCAV_Avg(gallon),Fuel_Used_PHEV_Avg(gallon),Fuel_Used_PHEV_NONCAV_Avg(gallon),Fuel_Used_HFCV_Avg(gallon),Fuel_Used_HFCV_NONCAV_Avg(gallon),Electricity_Used_ICE_Avg(kWh),Electricity_Used_ICE_NONCAV_Avg(kWh),Electricity_Used_BEV_Avg(kWh),Electricity_Used_BEV_NONCAV_Avg(kWh),Electricity_Used_PHEV_Avg(kWh),Electricity_Used_PHEV_NONCAV_Avg(kWh),Electricity_Used_HFCV_Avg(kWh),Electricity_Used_HFCV_NONCAV_Avg(kWh),Vehicle_Count_ICE,Vehicle_Count_ICE_NONCAV,Vehicle_Count_BEV,Vehicle_Count_BEV_NONCAV,Vehicle_Count_PHEV,Vehicle_Count_PHEV_NONCAV,Vehicle_Count_HFCV,Vehicle_Count_HFCV_NONCAV,Overall_Fuel_Used(gallon)_After1hour,Overall_Electricity_Used(kWh)_After1hour,Overall_Fuel_Cost($)_After1hour,Overall_Electricity_Cost($)_After1hour,Total_Number_of_Vehicles_After1hour,Travel_Time_ICE_Avg(s)_After1hour,Travel_Time_ICE_NONCAV_Avg(s)_After1hour,Travel_Time_BEV_Avg(s)_After1hour,Travel_Time_BEV_NONCAV_Avg(s)_After1hour,Travel_Time_PHEV_Avg(s)_After1hour,Travel_Time_PHEV_NONCAV_Avg(s)_After1hour,Travel_Time_HFCV_Avg(s)_After1hour,Travel_Time_HFCV_NONCAV_Avg(s)_After1hour,Fuel_Used_ICE_Avg(gallon)_After1hour,Fuel_Used_ICE_NONCAV_Avg(gallon)_After1hour,Fuel_Used_BEV_Avg(gallon)_After1hour,Fuel_Used_BEV_NONCAV_Avg(gallon)_After1hour,Fuel_Used_PHEV_Avg(gallon)_After1hour,Fuel_Used_PHEV_NONCAV_Avg(gallon)_After1hour,Fuel_Used_HFCV_Avg(gallon)_After1hour,Fuel_Used_HFCV_NONCAV_Avg(gallon)_After1hour,Electricity_Used_ICE_Avg(kWh)_After1hour,Electricity_Used_ICE_NONCAV_Avg(kWh)_After1hour,Electricity_Used_BEV_Avg(kWh)_After1hour,Electricity_Used_BEV_NONCAV_Avg(kWh)_After1hour,Electricity_Used_PHEV_Avg(kWh)_After1hour,Electricity_Used_PHEV_NONCAV_Avg(kWh)_After1hour,Electricity_Used_HFCV_Avg(kWh)_After1hour,Electricity_Used_HFCV_NONCAV_Avg(kWh)_After1hour,Vehicle_Count_ICE_After1hour,Vehicle_Count_ICE_NONCAV_After1hour,Vehicle_Count_BEV_After1hour,Vehicle_Count_BEV_NONCAV_After1hour,Vehicle_Count_PHEV_After1hour,Vehicle_Count_PHEV_NONCAV_After1hour,Vehicle_Count_HFCV_After1hour,Vehicle_Count_HFCV_NONCAV_After1hour
100%ICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02E+13,100,5,45,0,806.149,9206.86,0,32224,0,34137,835.696,781.81,0,0,0,0,0,0,0.275782,0.264696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15419,18718,0,0,0,0,0,0,1958.99,-109.573,6856.47,-27.3933,8534,746.359,739.71,0,0,0,0,0,0,0.224766,0.228228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4035,4499,0,0,0,0,0,0
2.02E+13,100,5,50,0,913.46,9709.43,0,33983,0,34123,923.876,902.99,0,0,0,0,0,0,0.290195,0.278859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17106,17017,0,0,0,0,0,0,310375,4.31E+06,1.09E+06,1.08E+06,9145,936.851,996.563,0,0,0,0,0,0,0.274836,0.265201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4675,4470,0,0,0,0,0,0
2.02E+13,100,10,35,0,948.79,9838.71,0,34435.5,0,34203,962.398,941.515,0,0,0,0,0,0,0.293031,0.284783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11915,22288,0,0,0,0,0,0,310417,4.31E+06,1.09E+06,1.08E+06,8465,1381.71,1401.65,0,0,0,0,0,0,0.299667,0.294611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2981,5484,0,0,0,0,0,0
2.02E+13,100,10,40,0,837.044,9417.39,0,32960.9,0,34520,868.517,815.9,0,0,0,0,0,0,0.284063,0.265249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13872,20648,0,0,0,0,0,0,310030,4.31E+06,1.09E+06,1.08E+06,8397,1000.4,992.665,0,0,0,0,0,0,0.258641,0.2472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3482,4915,0,0,0,0,0,0
2.02E+13,100,10,45,0,816.448,9283.82,0,32493.4,0,34137,842.576,794.925,0,0,0,0,0,0,0.27989,0.265423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15419,18718,0,0,0,0,0,0,309918,4.31E+06,1.08E+06,1.08E+06,8599,799.045,827.212,0,0,0,0,0,0,0.230713,0.235243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4075,4524,0,0,0,0,0,0
2.02E+13,100,10,50,0,881.549,9614.22,0,33649.8,0,34119,893.44,869.598,0,0,0,0,0,0,0.288151,0.275387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17102,17017,0,0,0,0,0,0,310169,4.31E+06,1.09E+06,1.08E+06,8984,825.488,883.144,0,0,0,0,0,0,0.25149,0.250548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4608,4376,0,0,0,0,0,0
2.02E+13,100,0,35,1,711.937,8794.35,0,30780.2,0,34318,755.013,688.844,0,0,0,0,0,0,0.27623,0.245555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11977,22341,0,0,0,0,0,0,309389,4.31E+06,1.08E+06,1.08E+06,7598,654.801,587.105,0,0,0,0,0,0,0.215477,0.182384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2701,4897,0,0,0,0,0,0
2.02E+13,100,0,40,1,945.12,10016.3,0,35057,0,34525,965.511,931.381,0,0,0,0,0,0,0.308538,0.277706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13898,20627,0,0,0,0,0,0,2592.3,-109.344,9073.04,-27.3359,8888,1137.36,1382.97,0,0,0,0,0,0,0.283051,0.293126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3793,5095,0,0,0,0,0,0
2.02E+13,100,0,45,1,983.997,10209.4,0,35733,0,34076,998.902,971.709,0,0,0,0,0,0,0.318168,0.284306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15398,18678,0,0,0,0,0,0,2756.2,-109.803,9646.71,-27.4506,9133,1245.52,1415.62,0,0,0,0,0,0,0.304219,0.294396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4293,4840,0,0,0,0,0,0
2.02E+13,100,0,50,1,1209.74,11311.1,0,39589,0,33953,1182.89,1236.78,0,0,0,0,0,0,0.3421,0.324119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17036,16917,0,0,0,0,0,0,311549,4.31E+06,1.09E+06,1.08E+06,9953,1654.11,2007.89,0,0,0,0,0,0,0.355267,0.375434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5049,4904,0,0,0,0,0,0
