Time,Demand_Percentage(%),Prediction_Horizon(min),CAV_Penetration(%),Eco_Routing_with_Travel_Time(0/1),Vehicle_Fleet,Overall_Travel_Time_Avg(s),Overall_Fuel_Used(gallon),Overall_Electricity_Used(kWh),Overall_Fuel_Cost($),Overall_Electricity_Cost($),Total_Number_of_Vehicles,Travel_Time_ICE_Avg(s),Travel_Time_ICE_NONCAV_Avg(s),Travel_Time_BEV_Avg(s),Travel_Time_BEV_NONCAV_Avg(s),Travel_Time_PHEV_Avg(s),Travel_Time_PHEV_NONCAV_Avg(s),Travel_Time_HFCV_Avg(s),Travel_Time_HFCV_NONCAV_Avg(s),Fuel_Used_ICE_Avg(gallon),Fuel_Used_ICE_NONCAV_Avg(gallon),Fuel_Used_BEV_Avg(gallon),Fuel_Used_BEV_NONCAV_Avg(gallon),Fuel_Used_PHEV_Avg(gallon),Fuel_Used_PHEV_NONCAV_Avg(gallon),Fuel_Used_HFCV_Avg(gallon),Fuel_Used_HFCV_NONCAV_Avg(gallon),Electricity_Used_ICE_Avg(kWh),Electricity_Used_ICE_NONCAV_Avg(kWh),Electricity_Used_BEV_Avg(kWh),Electricity_Used_BEV_NONCAV_Avg(kWh),Electricity_Used_PHEV_Avg(kWh),Electricity_Used_PHEV_NONCAV_Avg(kWh),Electricity_Used_HFCV_Avg(kWh),Electricity_Used_HFCV_NONCAV_Avg(kWh),Vehicle_Count_ICE,Vehicle_Count_ICE_NONCAV,Vehicle_Count_BEV,Vehicle_Count_BEV_NONCAV,Vehicle_Count_PHEV,Vehicle_Count_PHEV_NONCAV,Vehicle_Count_HFCV,Vehicle_Count_HFCV_NONCAV,Overall_Fuel_Used(gallon)_After1hour,Overall_Electricity_Used(kWh)_After1hour,Overall_Fuel_Cost($)_After1hour,Overall_Electricity_Cost($)_After1hour,Total_Number_of_Vehicles_After1hour,Travel_Time_ICE_Avg(s)_After1hour,Travel_Time_ICE_NONCAV_Avg(s)_After1hour,Travel_Time_BEV_Avg(s)_After1hour,Travel_Time_BEV_NONCAV_Avg(s)_After1hour,Travel_Time_PHEV_Avg(s)_After1hour,Travel_Time_PHEV_NONCAV_Avg(s)_After1hour,Travel_Time_HFCV_Avg(s)_After1hour,Travel_Time_HFCV_NONCAV_Avg(s)_After1hour,Fuel_Used_ICE_Avg(gallon)_After1hour,Fuel_Used_ICE_NONCAV_Avg(gallon)_After1hour,Fuel_Used_BEV_Avg(gallon)_After1hour,Fuel_Used_BEV_NONCAV_Avg(gallon)_After1hour,Fuel_Used_PHEV_Avg(gallon)_After1hour,Fuel_Used_PHEV_NONCAV_Avg(gallon)_After1hour,Fuel_Used_HFCV_Avg(gallon)_After1hour,Fuel_Used_HFCV_NONCAV_Avg(gallon)_After1hour,Electricity_Used_ICE_Avg(kWh)_After1hour,Electricity_Used_ICE_NONCAV_Avg(kWh)_After1hour,Electricity_Used_BEV_Avg(kWh)_After1hour,Electricity_Used_BEV_NONCAV_Avg(kWh)_After1hour,Electricity_Used_PHEV_Avg(kWh)_After1hour,Electricity_Used_PHEV_NONCAV_Avg(kWh)_After1hour,Electricity_Used_HFCV_Avg(kWh)_After1hour,Electricity_Used_HFCV_NONCAV_Avg(kWh)_After1hour,Vehicle_Count_ICE_After1hour,Vehicle_Count_ICE_NONCAV_After1hour,Vehicle_Count_BEV_After1hour,Vehicle_Count_BEV_NONCAV_After1hour,Vehicle_Count_PHEV_After1hour,Vehicle_Count_PHEV_NONCAV_After1hour,Vehicle_Count_HFCV_After1hour,Vehicle_Count_HFCV_NONCAV_After1hour,number_of_vehicles_left_in_the_network,MPG_ICE,MPG_ICE_NONCAV,MPG_BEV,MPG_BEV_NONCAV,MPG_PHEV,MPG_PHEV_NONCAV,MPG_HFCV,MPG_HFCV_NONCAV,MPGe_ICE,MPGe_ICE_NONCAV,MPGe_BEV,MPGe_BEV_NONCAV,MPGe_PHEV,MPGe_PHEV_NONCAV,MPGe_HFCV,MPGe_HFCV_NONCAV
2.02308E+13,100,0,0,0,2030,799.776,6028.51,12945.1,21099.8,3236.29,34881,0,800.294,0,788.986,0,805.609,0,820.632,0,0.230464,0,0,0,7.58E-06,0,0,0,0,0,1.37974,0,1.58235,0,1.56361,0,26158,0,4200,0,4164,0,359,1389.35,2283.12,4862.73,570.78,8022,0,974.667,0,918.242,0,973.676,0,1004.03,0,0.230444,0,0,0,2.92E-06,0,0,0,0,0,1.06797,0,1.21365,0,1.26494,0,6029,0,962,0,944,0,87,164,0,26.0807,0,0,0,4359.09,0,0,0,0,0,130.081,0,113.046,0,112.015
2.02308E+13,100,0,10,0,2030,817.11,6175.21,13277.2,21613.2,3319.3,34940,753.723,824.953,730.449,823.255,714.783,824.461,952.857,838.689,0.233171,0.237256,0,0,5.52E-06,7.21E-06,0,0,0,0,1.31083,1.40142,1.42558,1.60938,1.15313,1.65483,2642,23431,403,3803,438,3870,35,318,1360.09,2538.93,4760.32,634.732,8672,672.911,836.316,719.474,835.043,696.495,814.094,839.455,876.289,0.18942,0.212241,0,0,3.28E-06,4.91E-06,0,0,0,0,0.968727,1.07411,1.11128,1.23937,0.786701,1.40065,621,5854,78,959,91,982,11,76,93,26.0094,25.3992,0,0,3146.26,4423.79,0,0,0,0,131.967,129.283,114.205,112.568,117.031,111.849
2.02308E+13,100,0,20,0,2030,855.259,6373.93,13068.5,22308.8,3267.12,34991,819.467,864.913,846.766,864.865,794.096,855.301,882.761,870.257,0.243983,0.242944,0,0,6.02E-06,9.07E-06,0,0,0,0,1.37857,1.38708,1.50071,1.60741,1.36325,1.63694,5167,21047,847,3402,819,3354,71,284,1507.53,2424.45,5276.37,606.114,9062,794.482,958.795,743.495,933.149,766.399,928.832,593.45,995.1,0.206605,0.224191,0,0,5.45E-06,6.61E-06,0,0,0,0,1.03331,0.980064,1.17321,1.15483,0.789654,1.42452,1322,5506,212,845,203,874,20,80,390,25.5566,25.1265,0,0,2802.88,5801.15,0,0,0,0,130.394,128.183,113.508,111.303,118.943,111.538
2.02308E+13,100,0,30,0,2030,769.377,6083.06,13144.3,21290.7,3286.08,35232,760.561,766.354,792.499,785.573,821.829,765.156,833.265,709.438,0.232869,0.229178,0,0,4.78E-06,7.78E-06,0,0,0,0,1.34487,1.43355,1.53069,1.59494,1.25464,1.55432,7999,18415,1191,3029,1306,2942,117,233,1095.94,2339.76,3835.78,584.941,8156,636.509,702.016,707.719,713.2,692.668,741.791,742.333,657.196,0.171076,0.184718,0,0,2.78E-06,4.73E-06,0,0,0,0,1.03364,1.07165,1.05385,1.25068,0.841768,1.26917,1855,4215,295,726,331,651,27,56,85,25.5471,25.6643,0,0,2854.09,4037.32,0,0,0,0,130.959,130.157,112.249,111.66,109.919,110.608
2.02308E+13,100,0,40,0,2030,926.844,6734.26,13294.5,23569.9,3323.62,34971,910.412,929.518,914.568,944.944,959.98,939.899,1164.49,834.176,0.261094,0.254997,0,0,5.77E-06,7.55E-06,0,0,0,0,1.36177,1.44619,1.55824,1.64445,1.38879,1.61309,10376,15785,1747,2588,1663,2470,143,199,1589.81,2490.5,5564.32,622.624,8559,994.706,1253.78,1073.54,1248.89,1262.75,1263.89,1636.19,979.231,0.226948,0.263532,0,0,3.92E-06,4.11E-06,0,0,0,0,1.05596,1.11344,1.19332,1.21141,1.05748,1.25893,2538,3847,449,626,399,601,47,52,1424,24.3858,24.3954,0,0,3465.65,5062.86,0,0,0,0,127.336,125.141,109.335,108.959,109.122,109.764
2.02308E+13,100,0,50,0,2030,854.008,6582.33,13615.9,23038.2,3403.98,35224,876.598,830.076,863.688,835.414,874.915,839.765,982.912,814.046,0.257657,0.242938,0,0,6.46E-06,9.09E-06,0,0,0,0,1.37821,1.46874,1.55005,1.69854,1.43905,1.68101,13246,13046,2126,2178,2182,2111,182,153,1400.94,2558.94,4903.28,639.735,9035,759.049,796.894,729.247,763.009,777.017,729.481,814.25,814.528,0.206166,0.208389,0,0,6.57E-06,5.58E-06,0,0,0,0,0.969109,1.09208,1.18817,1.2268,1.11937,1.48194,3499,3261,543,538,601,505,52,36,41,24.4352,25.2316,0,0,3732.24,5840.55,0,0,0,0,128.542,128.306,110.756,111.56,111.066,111.216
2.02308E+13,100,0,60,0,2030,897.224,6860.27,13703.7,24010.9,3425.94,35589,924.888,846.612,950.999,869.061,930.449,850.764,896.974,921.643,0.267597,0.246363,0,0,5.94E-06,8.82E-06,0,0,0,0,1.37522,1.45864,1.56155,1.64569,1.3798,1.67252,15884,10593,2530,1738,2670,1784,233,157,1488.75,2628.77,5210.64,657.192,9334,844.254,824.322,938.303,887.089,909.992,877.089,578.317,1119.95,0.217815,0.20612,0,0,5.76E-06,6.54E-06,0,0,0,0,1.00713,1.03147,1.21441,1.23706,0.773087,1.4092,4278,2702,671,439,716,426,63,39,54,23.908,24.818,0,0,3553.96,5291.93,0,0,0,0,126.993,128.929,110.05,110.963,110,108.664
2.02308E+13,100,0,70,0,2030,938.905,7047.16,13385.5,24665.1,3346.37,35408,965.147,860.649,1002.58,842.146,1002.4,846.327,933.133,839.066,0.27343,0.247331,0,0,7.15E-06,7.98E-06,0,0,0,0,1.40875,1.39084,1.59153,1.66145,1.40576,1.58471,18666,7857,2972,1267,2993,1292,255,106,1635.9,2863.34,5725.66,715.834,9996,871.615,838.451,878.66,846.853,971.553,834.725,1035.14,797.129,0.222336,0.213694,0,0,5.39E-06,5.94E-06,0,0,0,0,1.00138,1.0355,1.18483,1.32698,1.26924,1.16939,5349,2090,927,320,884,324,71,31,167,23.5913,24.5481,0,0,3732.92,5007.38,0,0,0,0,128.242,130.009,109.564,111.36,112.115,109.612
2.02308E+13,100,0,80,0,2030,960.814,7238.2,13452.8,25333.7,3363.2,35771,984.201,875.394,983.329,807.026,986.991,877.151,956.752,708.493,0.27635,0.249098,0,0,6.46E-06,7.98E-06,0,0,0,0,1.39605,1.38359,1.57659,1.62392,1.37199,1.2955,21421,5293,3491,837,3515,869,278,67,1793.24,3174.69,6276.35,793.671,10566,868.896,849.281,940.402,776.366,989.212,849.734,985.963,708,0.227077,0.222832,0,0,6.83E-06,3.92E-06,0,0,0,0,1.08579,1.11207,1.30911,1.33235,1.19675,0.965115,6534,1389,1055,213,1061,222,81,11,49,23.4355,24.4408,0,0,3931.27,4461.08,0,0,0,0,128.116,129.238,109.845,122.861,111.65,114.442
2.02308E+13,100,0,90,0,2030,1043.4,7582.92,13593.6,26540.2,3398.39,35632,1043.96,954.224,1078.16,972.835,1078.31,932.712,1152.33,746.923,0.286853,0.263346,0,0,7.29E-06,7.06E-06,0,0,0,0,1.41566,1.4674,1.60522,1.64386,1.43118,1.57225,24035,2614,3845,419,3932,441,320,26,2038.69,3326.41,7135.4,831.603,11157,966.025,1029.68,1052.53,982.12,1094.48,1151.51,1401.31,879,0.242907,0.246959,0,0,8.82E-06,7.30E-06,0,0,0,0,1.08756,1.10839,1.29809,1.31651,1.2232,2.02065,7612,768,1201,125,1252,106,89,4,363,22.7845,23.4999,0,0,4078.67,4085.02,0,0,0,0,125.832,125.822,109.041,109.489,109.004,107.367
